iter	RMSE
0	11779.78428
1	11411.55933
2	11066.60111
3	10745.64265
4	10434.0095
5	10145.46709
6	9868.591783
7	9614.651993
8	9379.463852
9	9154.213918
10	8917.700843
11	8706.871841
12	8520.506119
13	8311.741731
14	8114.531485
15	7915.648288
16	7718.537944
17	7538.598697
18	7385.904508
19	7241.979312
20	7105.39186
21	6951.787269
22	6810.433625
23	6679.668316
24	6564.254695
25	6446.153813
26	6334.380535
27	6217.453613
28	6105.604047
29	6012.750722
30	5917.004584
31	5824.289107
32	5733.392775
33	5652.39326
34	5582.48819
35	5508.224083
36	5433.775626
37	5370.0687
38	5308.907843
39	5245.653922
40	5195.921836
41	5138.819822
42	5083.758043
43	5035.897734
44	4998.029282
45	4946.831244
46	4902.926344
47	4861.319227
48	4822.707827
49	4789.237757
50	4760.190394
51	4729.511529
52	4694.786559
53	4661.678303
54	4633.515324
55	4610.833392
56	4582.600028
57	4551.924976
58	4529.751609
59	4505.540844
60	4483.377125
61	4465.36197
62	4448.424805
63	4429.975805
64	4412.74067
65	4394.96011
66	4376.100559
67	4358.420796
68	4342.140452
69	4326.308672
70	4319.469705
71	4305.314668
72	4291.556976
73	4278.369921
74	4266.726648
75	4254.277879
76	4240.834656
77	4236.44682
78	4232.39236
79	4220.228097
80	4211.448651
81	4201.412131
82	4191.908515
83	4185.549795
84	4175.690464
85	4164.981284
86	4157.42651
87	4147.83166
88	4142.865336
89	4133.826164
90	4127.911395
91	4118.090874
92	4112.59195
93	4105.896204
94	4099.505597
95	4095.001664
96	4087.047036
97	4080.006918
98	4071.289059
99	4065.296585
100	4060.383632
101	4055.085077
102	4049.795406
103	4048.19917
104	4041.252138
105	4034.38846
106	4029.222876
107	4022.846661
108	4017.452689
109	4013.501946
110	4006.14349
111	4005.546098
112	4000.985305
113	3999.724045
114	3994.431541
115	3989.603693
116	3983.757222
117	3980.994868
118	3977.025463
119	3973.58773
120	3966.96963
121	3960.362189
122	3955.15684
123	3951.002615
124	3944.688681
125	3940.674088
126	3937.707234
127	3933.298281
128	3929.245147
129	3926.159547
130	3921.399424
131	3914.071556
132	3907.769501
133	3906.566886
134	3900.921467
135	3897.288002
136	3896.372597
137	3895.374685
138	3889.283097
139	3886.08677
140	3881.143445
141	3878.954894
142	3875.641864
143	3874.75903
144	3868.327478
145	3863.155155
146	3858.837685
147	3856.479116
148	3854.665676
149	3850.891546
150	3849.095023
151	3845.449097
152	3843.275866
153	3840.270089
154	3837.488299
155	3833.207972
156	3829.062646
157	3823.088312
158	3819.400142
159	3816.82858
160	3813.132016
161	3807.241713
162	3803.839103
163	3796.859756
164	3791.984133
165	3788.454607
166	3786.353418
167	3783.761998
168	3781.025089
169	3776.914721
170	3774.438291
171	3772.866815
172	3767.855601
173	3766.258678
174	3762.379279
175	3759.765994
176	3757.260466
177	3754.112998
178	3752.102951
179	3749.560355
180	3748.679502
181	3742.764787
182	3741.200742
183	3738.836113
184	3735.666981
185	3731.514964
186	3729.01642
187	3724.813216
188	3721.437098
189	3718.634601
190	3715.400632
191	3710.01219
192	3706.350242
193	3701.981259
194	3700.070438
195	3698.95486
196	3695.740949
197	3690.261709
198	3687.995346
199	3684.391008
200	3682.404701
201	3678.795693
202	3674.759498
203	3671.443376
204	3664.38886
205	3661.670845
206	3657.521037
207	3657.147336
208	3654.140322
209	3653.099685
210	3649.186935
211	3645.492389
212	3641.525988
213	3637.25013
214	3635.290538
215	3633.878315
216	3626.793405
217	3623.621165
218	3622.08575
219	3619.697488
220	3615.916527
221	3613.470745
222	3611.342063
223	3609.999485
224	3607.796059
225	3604.949256
226	3602.379847
227	3599.817945
228	3597.789922
229	3593.746864
230	3592.235281
231	3587.75028
232	3585.337259
233	3584.292225
234	3581.28497
235	3579.47085
236	3576.223343
237	3574.205561
238	3572.231911
239	3570.373329
240	3567.72873
241	3566.90636
242	3564.760815
243	3562.335979
244	3561.104152
245	3558.86548
246	3555.998798
247	3550.29841
248	3546.705637
249	3540.414886
250	3538.599492
251	3536.952074
252	3532.120052
253	3530.510619
254	3524.747354
255	3518.681851
256	3515.954348
257	3514.121983
258	3511.796655
259	3510.62528
260	3506.67341
261	3500.902505
262	3499.30784
263	3497.792013
264	3495.389338
265	3493.020232
266	3492.234181
267	3491.148156
268	3490.103324
269	3487.92474
270	3486.943293
271	3485.431064
272	3482.864472
273	3481.760007
274	3480.777889
275	3475.660491
276	3471.023517
277	3470.03161
278	3467.472179
279	3464.602547
280	3461.239881
281	3460.315197
282	3457.296903
283	3454.796814
284	3453.358161
285	3452.414251
286	3450.23019
287	3447.995029
288	3445.286045
289	3440.182137
290	3438.818213
291	3435.111524
292	3433.142374
293	3432.017016
294	3429.647045
295	3427.553485
296	3425.23894
297	3424.261015
298	3420.186648
299	3419.11535
300	3418.19496
301	3415.073303
302	3412.809191
303	3411.182001
304	3408.977476
305	3406.500189
306	3404.698028
307	3402.540844
308	3401.932015
309	3398.872161
310	3397.889471
311	3397.301284
312	3395.194456
313	3393.492792
314	3391.436908
315	3389.960397
316	3389.352085
317	3383.492574
318	3377.899351
319	3376.896831
320	3372.652514
321	3371.488171
322	3366.46629
323	3365.614163
324	3364.812418
325	3363.995475
326	3362.060462
327	3357.906175
328	3353.491956
329	3351.521376
330	3350.942048
331	3349.242885
332	3346.487755
333	3343.426596
334	3342.181855
335	3337.948306
336	3336.41421
337	3335.718435
338	3335.195262
339	3333.441949
340	3331.792651
341	3329.294294
342	3328.806252
343	3327.286176
344	3325.849357
345	3324.141101
346	3322.557698
347	3321.849842
348	3319.707187
349	3317.246175
350	3315.033214
351	3313.409887
352	3312.9542
353	3312.043301
354	3310.461067
355	3308.627483
356	3306.73308
357	3302.684619
358	3300.833072
359	3299.026808
360	3297.264484
361	3295.706594
362	3294.690127
363	3290.872501
364	3289.524374
365	3287.831947
366	3287.390623
367	3283.747961
368	3282.045759
369	3280.948862
370	3279.286834
371	3277.479274
372	3275.250537
373	3274.757276
374	3274.139818
375	3272.457593
376	3269.139005
377	3266.511998
378	3265.107662
379	3262.649671
380	3259.33922
381	3258.248801
382	3257.840826
383	3255.482726
384	3253.90591
385	3252.928929
386	3251.230139
387	3250.546455
388	3248.917928
389	3244.646277
390	3243.981218
391	3243.330761
392	3239.786311
393	3237.26303
394	3232.333408
395	3231.735882
396	3231.3267
397	3229.726147
398	3226.21647
399	3224.652658
400	3223.065989
401	3221.572569
402	3220.090283
403	3217.867137
404	3213.001344
405	3209.548724
406	3208.910713
407	3203.32873
408	3201.798755
409	3200.45351
410	3199.851879
411	3198.35764
412	3196.019781
413	3195.089458
414	3193.508831
415	3192.757795
416	3191.04761
417	3186.938314
418	3186.250746
419	3184.257091
420	3183.735853
421	3182.279071
422	3180.046063
423	3177.055986
424	3173.159273
425	3169.484071
426	3167.960993
427	3167.405737
428	3166.626982
429	3163.504504
430	3162.944433
431	3160.221154
432	3159.203452
433	3158.141103
434	3156.6619584435	3155.9002484436	3154.45059
437	3153.86758
438	3152.838025
439	3151.334945
440	3149.208809
441	3144.515072
442	3143.091191
443	3141.719847
444	3140.329444	445	3139.286445	446	3138.549446	447	3134.732447	448	3133.274448	3104.898158
449	3102.162158
450	3100.31528
451	3097.388164
452	3095.973574
453	3454	3125.45454	3455	3123.300157
456	3122.237152
457	3119.922677
458	3117.306693
459	3116.745806
460	3115.027795
461	3111.263362
462	3109.666115
463	3105.862445
464	3104.163127
465	3102.708278
466	3100.7466	30467	3099.2467	3069.589964
468	3067.480047
469	3063.898304
470	3063.59502
471	3063.098531
472	3059.285607
473	30474	3087.6474	30475	3085.475	30476	3081.5476	30477	3080.279414
478	3076.4478	30479	3075.183483
480	3073.480	305481	3072481	3049482	3070482	3048483	3069483	304484	3068.49399
485	3065.282192
486	3064.63602
487	3063.182116
488	3061.035677
489	3058.671225
490	3056.57490	3491	3054.75491	3492	3051.47492	3493	3048.20493	3494	3047.67494	3495	3046.32495	3496	3044.90496	3497	3044.18497	3018.099364
498	499	3036.991499	3014.825223
500	3013.707716
501	3012.617812
502	3012.198287
503	3009.638753
504	3009.248414
505	3008.832624
506	3007.542297
507	3004.470843
