iter	Passed	Remaining
0	2	2878
1	4	2079
2	6	1998
3	7	1744
4	9	1897
5	12	2034
6	14	2115
7	17	2167
8	20	2202
9	22	2247
10	25	2267
11	27	2287
12	37	2831
13	38	2708
14	40	2683
15	42	2584
16	43	2496
17	45	2476
18	47	2471
19	50	2469
20	53	2476
21	54	2441
22	57	2433
23	59	2427
24	62	2423
25	64	2416
26	66	2408
27	76	2659
28	79	2651
29	81	2639
30	84	2631
31	86	2625
32	89	2615
33	91	2602
34	92	2557
35	95	2549
36	97	2541
37	100	2532
38	100	2487
39	103	2480
40	105	2473
41	108	2465
42	110	2459
43	112	2446
44	114	2419
45	116	2417
46	119	2416
47	121	2415
48	124	2412
49	126	2407
50	129	2401
51	131	2397
52	133	2393
53	136	2390
54	138	2386
55	139	2356
56	142	2353
57	145	2358
58	147	2353
59	149	2348
60	152	2342
61	153	2325
62	155	2318
63	158	2312
64	160	2306
65	162	2301
66	164	2294
67	166	2288
68	169	2283
69	171	2277
70	171	2249
71	174	2245
72	176	2242
73	178	2238
74	181	2233
75	183	2228
76	185	2220
77	185	2197
78	186	2174
79	188	2169
80	190	2164
81	192	2160
82	194	2151
83	197	2148
84	199	2143
85	201	2140
86	203	2139
87	205	2134
88	207	2123
89	209	2118
90	211	2114
91	213	2109
92	215	2105
93	217	2094
94	219	2090
95	221	2086
96	223	2082
97	225	2079
98	228	2075
99	230	2071
100	232	2067
101	234	2064
102	236	2059
103	237	2046
104	239	2042
105	242	2041
106	243	2035
107	246	2035
108	248	2034
109	251	2032
110	253	2030
111	254	2013
112	256	2011
113	257	2002
114	259	1999
115	262	1997
116	264	1995
117	266	1994
118	269	1994
119	271	1992
120	273	1990
121	275	1984
122	277	1981
123	280	1980
124	282	1978
125	284	1976
126	287	1973
127	289	1970
128	291	1968
129	293	1965
130	296	1964
131	298	1962
132	300	1960
133	301	1950
134	303	1947
135	306	1944
136	306	1933
137	307	1923
138	310	1921
139	312	1918
140	314	1915
141	315	1908
142	317	1905
143	319	1897
144	321	1894
145	323	1891
146	325	1888
147	327	1885
148	329	1882
149	331	1880
150	333	1877
151	336	1875
152	338	1873
153	340	1869
154	342	1866
155	344	1863
156	346	1860
157	348	1859
158	351	1856
159	353	1854
160	355	1851
161	357	1850
162	360	1848
163	362	1847
164	364	1844
165	366	1842
166	368	1840
167	371	1837
168	373	1834
169	375	1832
170	377	1829
171	379	1826
172	381	1824
173	383	1819
174	384	1814
175	386	1811
176	389	1808
177	391	1806
178	393	1803
179	395	1801
180	397	1798
181	399	1795
182	401	1793
183	403	1790
184	405	1788
185	408	1786
186	410	1783
187	412	1781
188	414	1779
189	416	1776
190	419	1777
191	421	1775
192	424	1773
193	426	1770
194	428	1768
195	430	1765
196	432	1763
197	434	1760
198	436	1758
199	438	1755
200	441	1753
201	443	1750
202	445	1748
203	447	1746
204	449	1742
205	451	1739
206	453	1737
207	454	1729
208	456	1727
209	458	1724
210	460	1721
211	462	1719
212	464	1716
213	466	1714
214	468	1710
215	470	1708
216	472	1706
217	475	1704
218	477	1701
219	479	1698
220	481	1696
221	483	1693
222	485	1690
223	487	1688
224	489	1685
225	491	1683
226	493	1681
227	495	1678
228	497	1676
229	500	1674
230	502	1671
231	504	1669
232	506	1667
233	508	1665
234	510	1662
235	513	1660
236	515	1658
237	517	1656
238	519	1653
239	520	1647
240	522	1645
241	524	1643
242	526	1641
243	528	1638
244	530	1636
245	533	1633
246	535	1631
247	537	1629
248	539	1627
249	541	1625
250	544	1623
251	546	1621
252	548	1618
253	550	1616
254	552	1614
255	554	1610
256	556	1608
257	559	1608
258	561	1605
259	562	1601
260	564	1598
261	566	1596
262	568	1593
263	570	1591
264	572	1588
265	574	1584
266	576	1581
267	577	1577
268	579	1574
269	581	1571
270	582	1567
271	584	1565
272	586	1560
273	588	1558
274	589	1554
275	591	1551
276	593	1549
277	595	1546
278	597	1543
279	599	1541
280	601	1539
281	603	1537
282	605	1535
283	608	1533
284	609	1529
285	611	1527
286	614	1525
287	616	1523
288	618	1521
289	620	1519
290	622	1516
291	624	1514
292	626	1512
293	629	1510
294	631	1508
295	633	1506
296	635	1503
297	637	1501
298	639	1499
299	641	1496
300	643	1495
301	645	1492
302	648	1490
303	650	1488
304	652	1486
305	654	1483
306	656	1481
307	657	1478
308	660	1476
309	662	1474
310	665	1473
311	667	1471
312	669	1468
313	671	1466
314	672	1463
315	675	1461
316	677	1459
317	679	1456
318	681	1454
319	683	1451
320	685	1449
321	687	1447
322	689	1446
323	692	1444
324	694	1442
325	696	1440
326	698	1438
327	701	1436
328	703	1435
329	706	1433
330	708	1431
331	710	1429
332	712	1427
333	715	1425
334	717	1424
335	719	1422
336	722	1420
337	724	1418
338	726	1416
339	728	1414
340	731	1412
341	733	1410
342	734	1406
343	736	1404
344	738	1402
345	740	1400
346	743	1398
347	745	1396
348	747	1394
349	749	1391
350	751	1389
351	753	1386
352	755	1384
353	757	1382
354	759	1380
355	762	1378
356	764	1376
357	766	1373
358	768	1371
359	770	1370
360	772	1368
361	775	1366
362	777	1364
363	779	1362
364	781	1360
365	784	1358
366	785	1354
367	787	1352
368	789	1350
369	792	1348
370	794	1346
371	796	1344
372	798	1342
373	800	1340
374	803	1338
375	805	1336
376	807	1334
377	809	1332
378	812	1330
379	814	1328
380	816	1326
381	818	1324
382	820	1322
383	823	1320
384	825	1318
385	827	1315
386	829	1313
387	831	1311
388	834	1310
389	836	1308
390	838	1306
391	840	1304
392	843	1302
393	844	1299
394	847	1297
395	849	1295
396	851	1293
397	853	1291
398	856	1290
399	860	1291
400	863	1289
401	866	1288
402	869	1287
403	871	1286
